,SYMBOL,Gene,Feature
452,PEX5,ENSG00000139197,ENST00000537873
453,PEX5,ENSG00000139197,ENST00000434354
454,PEX5,ENSG00000139197,ENST00000544456
455,PEX5,ENSG00000139197,ENST00000543974
456,PEX5,ENSG00000139197,ENST00000545220
457,PEX5,ENSG00000139197,ENST00000545845
458,PEX5,ENSG00000139197,ENST00000455147
459,PEX5,ENSG00000139197,ENST00000536841
460,PEX5,ENSG00000139197,ENST00000545574
461,PEX5,ENSG00000139197,ENST00000542539
462,PEX5,ENSG00000139197,ENST00000266564
463,RP11-273B20.3,ENSG00000255572,ENST00000545794
464,PEX5,ENSG00000139197,ENST00000420616
465,PEX5,ENSG00000139197,ENST00000396637
466,PEX5,ENSG00000139197,ENST00000540398
467,PEX5,ENSG00000139197,ENST00000412720
468,,,ENSR00001816043
469,RNF219-AS1,ENSG00000234377,ENST00000444769
470,RNF219-AS1,ENSG00000234377,ENST00000560584
471,RNF219-AS1,ENSG00000234377,ENST00000607860
472,RNF219-AS1,ENSG00000234377,ENST00000560209
473,RNF219-AS1,ENSG00000234377,ENST00000607205
474,RP11-52L5.6,ENSG00000271776,ENST00000607269
475,RNF219-AS1,ENSG00000234377,ENST00000607220
476,RNF219-AS1,ENSG00000234377,ENST00000606124
477,RNF219-AS1,ENSG00000234377,ENST00000430549
478,RNF219-AS1,ENSG00000234377,ENST00000606376
479,RNF219-AS1,ENSG00000234377,ENST00000606429
480,POU4F1,ENSG00000152192,ENST00000377208
481,,,ENSR00001841390
482,RPS26P47,ENSG00000234354,ENST00000427219
483,RP11-151A6.4,ENSG00000224356,ENST00000454752
484,RP11-151A6.4,ENSG00000224356,ENST00000608779
485,RP11-151A6.6,ENSG00000280169,ENST00000624456
486,GGACT,ENSG00000134864,ENST00000492399
487,RP11-151A6.4,ENSG00000224356,ENST00000629479
488,GGACT,ENSG00000134864,ENST00000471912
489,GGACT,ENSG00000134864,ENST00000376250
490,PSMA3-AS1,ENSG00000257621,ENST00000554378
491,PSMA3-AS1,ENSG00000257621,ENST00000554360
492,PSMA3-AS1,ENSG00000257621,ENST00000557660
493,PSMA3-AS1,ENSG00000257621,ENST00000557412
494,PSMA3-AS1,ENSG00000257621,ENST00000555707
495,PSMA3-AS1,ENSG00000257621,ENST00000555275
496,LINC00216,ENSG00000279636,ENST00000627309
497,PSMA3-AS1,ENSG00000257621,ENST00000556002
498,C14orf37,ENSG00000139971,ENST00000554218
499,PSMA3-AS1,ENSG00000257621,ENST00000551597
500,HMGB1P14,ENSG00000180189,ENST00000557424
501,PSMA3-AS1,ENSG00000257621,ENST00000553657
502,LINC00216,ENSG00000279636,ENST00000623548
503,PSMA3-AS1,ENSG00000257621,ENST00000555037
504,PSMA3-AS1,ENSG00000257621,ENST00000556400
505,TMEM179,ENSG00000258986,ENST00000556573
506,C14orf180,ENSG00000184601,ENST00000557649
507,TMEM179,ENSG00000258986,ENST00000556320
508,C14orf180,ENSG00000184601,ENST00000410013
509,TMEM179,ENSG00000258986,ENST00000616017
510,TMEM179,ENSG00000258986,ENST00000415614
511,RP11-614O9.1,ENSG00000259037,ENST00000556073
512,C14orf180,ENSG00000184601,ENST00000331952
513,,,ENSR00001856964
514,ADAD2,ENSG00000140955,ENST00000566526
