#node	identifier	node_degree
NCBP1	9606.ENSP00000364289	24
NCR3	9606.ENSP00000342156	15
NCSTN	9606.ENSP00000294785	12
NDUFA10	9606.ENSP00000252711	16
NDUFA11	9606.ENSP00000389160	17
NDUFB2	9606.ENSP00000419087	11
NEB	9606.ENSP00000484342	10
NEIL1	9606.ENSP00000347170	4
NFIA	9606.ENSP00000360231	1
NFKBIA	9606.ENSP00000216797	34
NKAP	9606.ENSP00000360464	9
NKTR	9606.ENSP00000232978	15
NOD2	9606.ENSP00000300589	16
NOP14	9606.ENSP00000405068	22
NOS1AP	9606.ENSP00000355133	9
NOS3	9606.ENSP00000297494	18
NPHP1	9606.ENSP00000313169	5
NPHS1	9606.ENSP00000368190	13
NPY	9606.ENSP00000384364	13
NR1H3	9606.ENSP00000477707	13
NRCAM	9606.ENSP00000368314	16
NRG3	9606.ENSP00000361214	2
NSD1	9606.ENSP00000395929	19
NSMCE4A	9606.ENSP00000358019	4
NTM	9606.ENSP00000396722	5
NUDT10	9606.ENSP00000365174	2
NUP214	9606.ENSP00000352400	20
NXF1	9606.ENSP00000436679	18
NXF3	9606.ENSP00000378504	4
OBSCN	9606.ENSP00000455507	19
OGA	9606.ENSP00000354850	7
OIP5	9606.ENSP00000220514	10
OLFM2	9606.ENSP00000264833	1
OPCML	9606.ENSP00000330862	11
OR13C5	9606.ENSP00000363911	1
OR4C11	9606.ENSP00000492971	0
OR4N2	9606.ENSP00000493327	1
ORAI3	9606.ENSP00000322249	5
ORC1	9606.ENSP00000360623	15
OVOL2	9606.ENSP00000278780	2
OXR1	9606.ENSP00000405424	1
OXTR	9606.ENSP00000324270	10
